Gene	GSM104075	GSM470856	GSM470861	GSM470869	GSM470870	GSM470871	GSM470872	GSM470873	GSM470874	GSM470875	GSM470876	GSM470879	GSM470886	GSM470887	GSM470889	GSM470891	GSM470893	GSM470894	GSM470896
ATP1A1	10.175188985761034	10.082673543473602	10.337131041402014	10.184835085874877	10.233903122518418	10.089117538168452	10.202573194955876	10.382164727869249	9.625863899693062	10.344293373582673	9.98804573930107	10.47370216882402	10.36487941399954	10.28202104460695	10.349642560940612	10.167054277133229	9.661087317029937	9.887656488053665	10.399238582158214
A1CF	6.111932801993151	6.741394108647827	6.575377030289042	7.30515038028883	6.88536476425884	6.687273730406691	6.841604059485303	6.88536476425884	7.569496002647163	6.594786664473349	7.074299058245042	6.545990836686929	7.020555385024169	7.2544445051069	6.8698539467579876	6.823350252762706	7.3269763322512	6.400920099538063	6.864493582013696
MTMR12	6.417291014750862	6.1266137635382165	5.921384024503137	6.350498508251611	6.233499459394828	6.449795086904107	6.454752201841602	6.153210493759028	5.916411557995927	6.285721503915333	6.385555085392477	5.981908274135696	6.470954165571326	6.516021784629633	6.443918961814866	6.311231683611828	6.531547714070475	6.609728246544055	6.218436307479181
PILRB	6.9737819607879485	7.090350466230697	6.21549339589515	6.416449818121806	6.603840840868505	7.355493255629765	6.725463998648272	6.523574704948152	6.395846733160817	6.803490754045018	6.3194464386210285	6.531141612632522	6.92900949010845	6.598245031991307	7.693219718855515	7.190859011117839	6.531910438484792	7.030288035187161	7.136301067275402
EGLN2	8.740834474745984	9.071290835776228	8.418927258111271	8.842678432475164	8.98167520689424	8.668205623525918	8.909974186514802	8.847339620177177	8.736950931125996	8.879291431737915	8.918329146389656	8.5888217681543	9.29744456514782	9.19068360938316	9.080371309775243	9.099392467288386	9.05011044461694	9.431054409040552	9.141686760698429
CTAGE1	3.615220048142825	4.362996088904697	4.101224702166803	4.318395153758171	4.132367801240431	3.878105657443766	4.021210303418435	4.00879697438099	4.841826108876138	4.214404656451176	4.38281533547054	4.311345856250319	3.97499755514092	4.159297398533182	4.159297398533182	4.098641437826579	4.555776449104682	4.085060731836967	4.295628437105137
RAB1B	9.534220765427644	9.543295425135767	9.242859455681762	9.722842585356169	9.539446220363365	9.54038124240188	9.530389848326037	9.612656320231158	9.36070490234416	9.298219854606554	9.413761556829334	9.27485445324197	9.97313104597187	9.796509512206192	9.712808829339702	9.70754275889618	10.03296906897031	9.867639365587449	9.70619559891191
ARPC5L	9.412170322723073	9.617868894442095	9.19491668146678	9.522638723526008	9.151281575648705	9.15956270343958	9.318524061017785	9.447294660096734	9.099341097935673	9.37290603739183	9.415035329157286	9.169817468463926	9.728642906153446	9.44440121768703	9.560973637245269	9.37290603739183	9.616605013361117	9.676708870514112	9.203783228198892
ST6GALNAC5	4.0781175318821266	4.229645008714408	4.319015693415315	4.642454410216681	4.330331147734306	4.317544752803206	4.256273382581556	4.258573437783973	5.2943563782275085	4.163379565698081	4.48626502659436	4.40473874295202	4.542609531832847	4.635063099648292	4.177758252885981	4.318256683959611	4.514130247299461	4.550760079283471	4.554051218212342
ADPGK	8.501317548427924	8.459902469227444	8.25897020882519	8.5735909245779	8.364838527958094	8.684098356268604	8.518584633327961	8.587425515217323	8.322750109098777	8.421654001604365	8.415711207905263	8.805916069329093	8.564201371852114	8.255439566841597	8.615579792489267	8.444178311473765	8.286260146023443	8.305242639596173	8.336690356937728
NUAK2	7.807349405260371	7.5634271782657505	7.334998977294149	7.735476244367934	7.382559431976149	7.495238454758936	7.204230443179251	7.175373566796724	7.567715187615249	7.568488336632673	8.045044226414266	8.389337895218468	7.894961607488482	7.699909378663802	7.590125801691408	7.44646203540684	7.56183686147853	7.582248141987509	8.124148707799515
VMP1	9.162470320914672	8.089643987122894	8.717125885917302	8.108408817338901	7.627202692556976	8.696356047037078	8.128458863636268	8.635137703652857	8.066818568011534	8.465893556455505	7.929759512591714	8.796315199617744	7.603396647305771	8.09018177534754	8.475322820359764	8.370248088980839	7.755457601664832	8.087277043712666	8.370251043766448
TRMT1L	6.940106105939069	5.690609979550592	6.599122904543482	6.345399497122898	6.691113752528672	6.355740800223206	7.1826745024399585	6.385078814944273	5.40426305949158	6.750891905808763	5.386685810006599	6.973972465015377	6.122764650586014	6.59399457741857	6.086842874507248	6.425275483758599	6.3744054761817575	6.405982504405829	6.471032184764553
STXBP6	4.804463677607281	5.458951624722671	4.972296864462971	5.539526588995394	5.419999611010333	5.566629732723055	5.189102431054518	5.236137427434166	6.100541872553459	5.362260032144386	5.568228548899503	5.133837548616302	5.358511813099116	5.504711942733504	5.365782284285091	5.430234194653579	5.807191507177912	5.62297036654127	5.392864887837606
TSPAN14	8.438058008421798	8.466537459442378	8.51907582997778	8.671362054063346	7.85668074200706	7.990787034158963	8.141231206720551	8.535495796202502	8.019856210376881	8.152075369439562	8.556436642561348	8.67218772332706	8.368335812309553	8.609136812335713	8.760589679676324	8.246268169303018	8.533825498163287	8.544050696143993	8.331400628617196
SNX27	7.115988112027515	7.332078595032802	7.360167368340066	7.611034851260606	7.417222552920619	7.261749745334738	7.466589013827066	7.438667840459608	7.187138088941423	7.360167368340066	7.345343171677459	7.360167368340066	7.496858483862958	7.373878468802589	7.316194361997385	7.469351432365453	6.998440377376974	6.962395011480664	7.304976534559158
LBH	8.370052442545472	7.635765143797555	8.21383295613041	8.271752771444952	8.057919304955739	8.248148480671741	7.768528779849831	7.958631104312389	7.803087948420664	7.624662332048046	8.107464007255786	8.491081108499312	7.897638395515558	7.938644841120827	7.732490300178514	7.5812463884741	7.157073536175908	7.912155645374725	7.750425751962827
TRIM8	8.637191757762558	8.004431284540546	8.107481890352746	8.201804029197827	8.157387622281671	7.855343568844874	8.036802915873714	7.819115903549834	7.6677946124445775	8.017263802497965	7.712272290620259	9.080127587613736	8.124746858210859	8.648904436931504	8.167538837312156	8.24126402027286	8.230673281524696	8.544066811527978	8.826131281791348
RAB33B	4.272628191893799	4.240727454575089	4.461165178207704	4.113380953489901	4.152286705282321	4.272628191893799	4.116907033535631	3.9999501064975833	4.250281601123114	4.210612154858303	4.272628191893799	4.580741948551591	4.207591397258713	4.308068928848522	4.35785719905589	4.272628191893799	4.183898264997913	4.189462878482839	4.644630885493735
TCF7L1	6.845490480510415	6.778248405693699	6.9364314395967535	6.601167928664256	6.788263017398378	6.735760174313598	6.056330002807979	6.292796766069343	6.628543019259499	6.872131726637293	6.823172542499333	6.934264195943379	7.096811490325296	6.899766027018002	7.22715742378216	7.154098392358831	6.923013848090474	6.805849224259691	7.171450555825518
COLEC12	5.003623512306079	5.0245471848466154	5.346729235743274	5.799658568328484	5.459243069318932	5.8957935028684245	6.026932981926834	5.07409201879314	5.826686466435809	5.4295261819392096	5.468797938845693	5.124023710692682	5.624083336237173	5.258509230037445	5.208715610566269	5.380934558865222	5.625185938667639	5.106500121701642	5.195860123514273
SLC25A32	6.155513522090412	5.872761681035026	6.721819059348314	5.6942189933432426	5.584463608843011	5.610554222582562	6.003617473885756	6.891667692513929	5.688068110508827	6.53675390547596	5.547281847932798	6.420997560235362	5.811399300750923	5.7426468519160165	5.69962367827609	5.916970466712157	5.417003060873294	5.490584080974546	5.712743026592173
CTNNBL1	6.51946531818809	6.682563532173785	6.3871607473410075	6.597639062665968	6.924608007427495	6.623083248207284	6.75918990301933	6.683174580333732	6.571137775139378	6.458167814007779	6.837751634384193	6.355705380270659	6.995098544822198	6.586897892829137	6.67858087393413	6.65621547220762	6.446314447465087	6.599807356455245	6.605977343363776
SLC2A10	7.892713636595814	6.5457949936690305	8.256171976208798	7.325965150266614	7.787710329678051	7.82877881033517	8.291078430650916	7.816210413297825	6.3573158948702835	7.932910906602127	7.274498772011731	9.114721553147495	7.4959474832200526	7.603234927406654	7.551212470953613	7.673889534527578	6.602223896912449	6.961065808596686	7.124923847528393
PLA2G12A	4.562234835725036	4.465964709158897	4.470621637043215	4.342055635974789	4.329396497094391	4.20581197939987	4.377521662776632	4.398215810760549	4.215164626639273	4.377521662776632	4.3158584321017734	4.523120029249974	4.185242312807533	4.396128713866435	4.476170204849739	4.4034512738378915	4.33969134700744	4.323373908663291	4.36966429689835
APH1B	7.590815685029715	7.078639044568668	7.128346595551564	7.579225581267782	7.322649540756865	7.653444208356736	7.151506740035526	7.1617111703663365	7.343477507739879	7.149015893696347	7.1007516356724905	7.341106207777124	7.804299255525001	7.334818618172207	7.335851170097072	7.2919876797475105	7.150982875142306	7.322649540756865	7.468053577678115
SLC17A5	7.750118721736949	7.296862265872003	8.192582644048265	7.834494725077951	7.792528816620246	8.003772117804695	7.595211137394751	8.002965427996655	7.653407882361767	7.887628871445729	7.369838019538574	7.667075312970117	8.08497738890066	7.849431680069262	7.873729326923188	7.46465388622485	7.811715713362033	7.665012546897518	7.37208125598157
TRIM34	7.042131378334694	6.951800130327901	7.328243590584566	7.007290860362638	6.988371159831726	6.685256618602441	6.9381661606208285	6.939736846742075	7.007782085525262	6.946446750924186	7.33889341727675	7.356132884288947	6.677630721305228	7.125537917787208	7.068466889158813	7.326646092104484	7.161813004597075	6.931783300520585	7.237070896442382
GTPBP8	8.524804605531152	8.1650078612648	8.104333570908388	8.47283560334963	8.355358861907161	7.54192224080451	8.335347001121084	8.536215939596755	8.306306681727461	8.562901901052811	8.66763480989955	8.587067856707053	7.834968487549242	8.730130768240821	8.254960320989671	8.723031289468793	8.868298479727798	8.695827139696299	7.906259556232756
EPS15L1	6.75658678551166	6.930354905566138	7.0189225257733	7.391558375354414	7.03043100178267	6.934615906042195	6.846858884338509	6.8711620625612815	7.745378621616211	6.863839988945994	7.104947306263462	7.1643899807537155	7.024194843098806	7.116441294868645	7.122329511825913	7.236344105394547	7.558817688815863	7.06868503689088	7.271974527682945
CHST6	6.823023074705848	7.2523764288454595	5.372406994949481	6.742232088936951	5.326509710453441	6.094467380322875	6.830333306047823	6.267628697924737	5.634059279469469	5.786312536090806	6.179779417716569	6.792977216603045	6.810587387803293	6.333168498106519	6.034725256911906	6.175329183352727	6.466573521577319	6.687798429390616	5.990625202121929
TACO1	7.470663958566264	7.345488799477305	7.177809354060801	7.434064562851568	7.200398175004632	7.078942410029141	7.350917746223709	7.337038453482328	7.301768555955594	7.334402633354401	7.250500470811588	7.408333525524439	7.689250165812233	7.243065917469675	7.365789879511267	7.350917746223709	7.371114902902167	7.485293470541155	7.350917746223709
DENND2D	7.966731492505047	7.923355693116905	8.024663594175347	8.08936940757269	7.911248841782028	7.579717011242537	7.954104087627453	8.111378355184524	8.148540303291137	7.92491065411035	8.170987109091268	7.793671634371227	7.659029812300489	7.966731492505047	7.935910485690318	7.821025816907735	8.17317706586558	8.138387743660319	8.264224114423318
APOL3	7.084364445769342	7.726180637528473	6.313832106602178	6.903523370583775	6.636242120085145	6.37679940571127	6.558954327873804	6.981802848365388	6.777252679162897	6.786062704439692	7.696952983329306	6.603175498967409	6.4935413993827575	6.785651721175115	6.856791376248211	6.419858671845097	6.918989965961149	7.310564785151032	6.939272920193988
PPP1R9A	5.002622257038752	5.243672792189902	5.177783560622918	5.1980186609949754	5.403877893564479	5.6826847896600645	5.041157474493756	5.271531987882409	5.268398646063249	5.0221637483666095	5.215304708632529	4.978313537896164	5.155493901560981	5.2405274562297235	5.236788641949955	5.397645200623421	5.2405274562297235	5.2836756524622945	4.998724978950866
TMCO6	7.0113239693990534	6.916698308805752	7.024757480071056	6.636326976881383	6.97043306446256	6.946812333829126	7.253998947984396	6.6738160049589315	6.552326782298409	7.035466654148883	6.6912472766386175	7.707720669550953	7.214038428658102	7.099075409747804	7.024757480071056	7.024757480071056	7.12240111909237	7.093562764409091	7.091960029948335
CFAP44	6.5358822845595235	5.051617006633255	6.1135126562091475	6.12079157754226	6.357593098251113	6.5594567777614685	6.194722467094864	5.938524487842656	5.324544339868377	5.386516693163081	5.3882224566584735	7.048648119944721	5.4913413322845335	6.214803130345498	6.353228468821121	6.396355292659413	5.143028726419613	5.94932503724975	5.715847833115838
NIPSNAP3B	5.579992082703175	5.477962438729685	5.488474367317631	5.621616464301535	5.401899825632476	5.566501118877089	5.469810295754236	5.440895114627299	6.001430594430788	5.487665533410025	5.599775198250946	5.718625378382917	5.621616464301535	5.478055199363919	5.533042210545645	5.542919479359577	5.564507349342638	5.652956278749538	5.724682642651514
CHRNA9	5.785584700406759	5.481924083703454	5.278462318230115	5.288255660752581	5.499818767566833	5.479653592603525	5.374329942412744	5.410629108233026	5.775587032889744	5.506787890312167	5.666845599306795	5.766572863216204	5.38582972356816	5.468653819580269	5.4984135284551385	5.577092911248507	5.368634169207746	5.491343077425177	5.5442074119595794
HRH4	3.8652536836693456	3.919398537649703	3.909203549059696	4.02008474897929	4.002220027902184	4.002220027902184	3.999127031863045	3.938991689338886	4.450302939586656	3.92081323256344	4.202609435816532	4.080821432180398	3.966792122854909	4.029072913802571	3.986305131495026	4.025144529209579	3.91213125586654	4.002220027902184	4.095495751385616
IQCG	10.277895388669242	8.479135762700928	9.3647349748068	9.599955045410612	10.152116057033902	9.813324820612443	10.175568987226262	9.595121984790712	8.841961623379444	9.661496726380358	9.3322460699872	10.354177811476646	8.927476309961628	9.531450056987074	9.636438842366957	9.452908138833278	7.998228876551494	9.64815066662556	9.211516462674712
FUZ	7.88720340714685	7.255099359807298	7.05725893638988	7.6600886473885375	8.103223623060114	7.871862535645389	7.935811563486457	7.616579723873273	6.766089855863359	7.461366817051041	7.584339639671805	7.207789321394229	8.002195428859903	7.863561604091957	7.801209447176558	7.395299501523404	7.304919280266184	8.056484466219139	7.51145722067016
CIDEB	8.398289772774337	7.702631244409996	8.329711023565899	8.409818511179868	8.511240840202719	8.473248156278192	8.483026559227472	8.168008427137751	8.209757059338372	8.39774811417179	8.085039812488553	8.641954400479246	8.432583670912386	8.474586937934276	8.355275657228656	8.366653515079733	8.132197612625205	8.474121415572839	8.661139846861849
TARS2	7.335291613129417	7.141551946438891	7.4046401830607245	7.370806652047414	7.323435823931293	7.523400011947634	7.610929554912315	7.263720264408551	7.327837958937178	7.294422094175822	7.29642098227856	7.042947391285419	7.82851712226969	7.3258352647899425	7.385775626917973	7.164814733845878	7.335291613129417	7.399793507712517	7.233396192834652
RMC1	7.283342273960532	7.1108195618191035	7.043864971951311	6.922249877625661	6.951071956187198	6.9593090543052645	6.9058026470124165	7.09148928365079	6.675726655716909	7.323202949848085	7.206624658271784	7.59879430289825	7.478243053920504	7.095230572155607	7.2897678888905855	7.09148928365079	6.797363817744149	7.09148928365079	7.075002186254032
MFSD11	7.31191917457547	7.925180642054024	7.203852259156816	7.548214988335724	7.389086499370329	7.297200099494184	7.21823110189858	7.406332483591482	7.641894520721856	7.148181452481505	7.62807673491386	7.3269895537787	7.200035868912163	7.6332026572818865	7.55444122775616	7.578054332398947	7.766619691796032	7.805029492642772	7.394426541332555
NBEA	8.767143688751254	7.311456694956714	8.2099630567322	7.476718902714997	7.114473491794861	7.955684143857092	8.088683975144646	7.637154719050973	6.682057991505096	8.111282203780485	7.033605915613055	8.779005620728281	7.30181305430142	8.020225140114631	7.769207088367135	7.548721375786095	6.766981270698165	7.521381735547933	7.581673822565311
NSMF	6.877518592127816	7.343232282317942	7.327160912681109	7.250068599717792	7.089648788091664	6.912792057424041	7.370697480240238	7.443453139495106	7.476770305287108	7.026653408487906	7.175198997445212	6.928927785146234	7.373166273887088	7.369371449755909	7.16380850719389	7.047453403808935	8.114655399385759	7.343095735588657	7.275254993438454
