Gene	Hyb15	Hyb16	Hyb17	Hyb18	Hyb19	Hyb20	Hyb21	Hyb23	Hyb26	Hyb27	Hyb28	Hyb30	Hyb31	Hyb38	Hyb39	Hyb40	Hyb45	Hyb46	Hyb49	Hyb57	Hyb59	Hyb68	Hyb69	Hyb78	Hyb79	Hyb80	Hyb81	Hyb82
ZNF197	4.990789569729692	5.115620569102775	4.974335938125157	4.949057990525805	4.9983419111421075	5.156232796506554	4.8976905539143925	4.78921544307348	5.073531651656683	5.1190947934698965	5.091220106418231	4.968525685581756	5.033826299897495	5.063278469640082	4.974888163856785	5.004724988361247	5.046728078149316	4.971729933508413	4.636323872491127	5.202987365193998	5.223468508002014	4.998948912743034	5.024933583576419	4.867853325839029	4.948161281083511	5.023310045663331	5.088317356429303	4.859029845320055
FOLH1	7.703791187646384	7.277911049979771	7.52941483497325	7.606528097901783	7.6767929204599215	7.134123726778885	8.375060249035291	8.706577940597844	7.869755696641355	8.216876707940424	8.252991974463464	7.915789298611365	7.264923075790711	7.336081488440828	7.274249425290685	7.517652033921853	7.419716618666276	7.113338359298164	8.04578942004535	7.4586544862506194	7.508524271225838	7.797969532067668	7.279513776235551	7.978091978361345	7.330535149256122	8.287177211286982	8.136689337402894	6.621665356877159
S100A12	5.207325723918466	8.373214097105755	6.4923419041709884	4.260058943159581	4.272985851110948	6.594951884575925	5.184842651601599	5.163300508155784	4.674730503622776	4.577888717787256	4.858400028138815	4.7127056190164	4.803753516309192	4.293647724736195	4.3664403130042	6.643701388454905	4.6158998885901426	4.899720187321007	4.667045147911752	7.321680505764709	6.810535123199154	5.320818045555546	6.4629627594432115	4.769283469271439	4.381231521866988	4.857334045175841	3.975908771902412	4.169348288334163
BDKRB2	7.783074110332083	7.692976391465397	8.35262017475997	8.511173978685346	7.989223729019231	8.30381717986038	8.02534590825843	7.606206836685964	7.485589774921912	7.012656835019011	7.245614766551514	7.199317474752904	7.900350935350111	7.345942918402024	7.247129338983345	6.8136226646005085	7.586949266900135	7.801154552726558	7.74485999620952	7.782820240607229	6.999931815450974	7.90946263760326	7.9054328958667	8.036115004028336	7.764212210685172	7.955666934864562	7.342692353746744	7.979767720917091
PDE4DIP	5.757796187710919	5.6610232707702	5.425479653303141	5.082390958539362	5.516101337198737	5.087855957492928	5.204908458552693	5.30551166373593	5.184463215147504	5.412156683541033	5.249937925979467	5.682171025995617	5.061802034099778	5.465922169699766	5.36101092057576	5.634591972053576	5.292242176665477	5.88734923076101	5.237974768156553	5.9641575971241085	5.6330530130445045	5.744317437187791	5.559827453526202	5.451465613825464	5.831763834780139	5.389934759071313	5.387578949804459	5.346494359816998
TREX1	8.31755704008632	8.325686007190667	8.15764936346436	8.919189357052819	8.495891570072981	8.548032943060832	8.868415482739863	8.626528911043385	8.457324208839438	8.29331649708148	8.420156207693488	8.378340285939723	8.440429160514519	8.4510991444961725	8.598735882003872	7.976840303325287	8.49127751497183	8.780685051133858	8.73714234773369	8.438308076694218	8.322259790668527	8.53851822935209	8.520053125492279	8.707084644008832	8.286088754804561	8.384964051642928	8.317282883019384	8.15139104775851
PRKD1	6.785353931067172	5.749307712606108	6.419355786770818	6.026536398692587	6.027723147551367	5.851470237121357	5.657191638368563	5.595791310751219	5.88859714931145	6.2465242086710955	5.710593059409098	6.38173596161935	6.667079164386603	6.393861169045293	6.569610931300029	6.580599142750949	6.5604644134798775	6.132751457839944	6.128561378133169	5.9470294970336735	6.083591021412235	6.200820280812683	5.510422419507815	5.863180297323367	6.336035024106803	6.314578875568541	5.863870115664884	6.8158706596254754
MSH3	8.733631306629379	8.542625038439175	8.161451330927056	8.221330038791407	8.532815893007772	7.8126191053554255	7.841015874788185	8.377103847718297	8.199787418524439	8.132693938792933	8.285962621261863	8.725381666738485	8.675332570094728	8.823602327818703	8.503812149726258	7.956394453826465	7.877122744426765	8.924350497973887	8.853219075577702	9.01489653031129	9.217814880930494	8.433099709579249	8.542486991833005	8.285428817518422	8.820441647371709	7.6684778649250065	8.45242016900903	7.93060673047276
UBD	8.274176366911224	7.511078695839094	8.256129050642599	8.61857677036206	8.409797776163057	8.099259569426462	10.263447355506033	10.138056312565109	10.47817015268082	10.02333441370352	10.534043903785332	8.361200383305622	8.293490986906537	9.318122374512765	8.313279632811437	8.568016005708962	8.678269281397716	9.998098265285046	8.40543324831967	8.079368546649125	8.046647234755849	8.344604527050558	8.667933078158306	9.569911626504242	9.643717217009623	10.695528589740716	8.707771290279362	8.948806622231563
ADORA2B	8.798133061702236	8.852233935948671	9.234213191755208	9.532966695030726	8.730328445081398	9.41470007531679	8.788740803159234	8.334736654586422	8.408672936785713	8.388008965468568	8.740210400922905	8.446121756409656	9.435745059643471	8.750439936201952	8.59113216544474	7.730820108590942	8.582815169356213	8.487651559498495	8.870183468902649	9.075136187270951	8.025082428835198	8.6669554893579	9.513147307227644	8.768904657261285	8.70177296584882	7.837764210556692	8.399473781183598	8.722691366255152
